"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","EcogSPVisspat_bl","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Vis/Spat","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPPlan_bl","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Plan","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPOrgan_bl","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Organ","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPDivatt_bl","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Div atten","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","EcogSPTotal_bl","ADNIMERGE","Key variables merged into one data table","-4","SP ECog - Total","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ABETA_bl","ADNIMERGE","Key variables merged into one data table","-4","CSF ABETA","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","FDG_bl","ADNIMERGE","Key variables merged into one data table","-4","Average FDG-PET of angular, temporal, and posterior cingulate","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PIB_bl","ADNIMERGE","Key variables merged into one data table","-4","Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","AV45_bl","ADNIMERGE","Key variables merged into one data table","-4","Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Years_bl","ADNIMERGE","Key variables merged into one data table","-4","","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Month_bl","ADNIMERGE","Key variables merged into one data table","-4","","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","Month","ADNIMERGE","Key variables merged into one data table","-4","Months since baseline","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","M","ADNIMERGE","Key variables merged into one data table","-4","Month since baseline","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","TAU","ADNIMERGE","Key variables merged into one data table","-4","CSF TAU","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","PTAU","ADNIMERGE","Key variables merged into one data table","-4","CSF PTAU","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","ADASQ4","ADNIMERGE","Key variables merged into one data table","-4","ADAS Delayed Word Recall","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
"","RAVLT_learning","ADNIMERGE","Key variables merged into one data table","-4","RAVLT Learning (trial 5 - trial 1)","-4","-4","-4","-4","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-12-08 11:42:47"
